"Location","String Value"
"800035e4","Metrowerks Target Resident Kernel for PowerPC"
"801f0dc0","MESGbmg1"
"801f0de0","INF1"
"801f0e20","DAT1"
"801f0e29","ディスクを読み込んでいます。"
"801f0e46","ディスクカバーが開いています。
ゲームを続ける場合は
ディスクカバーを閉めてください。"
"801f0e9b","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0edb","「ゼルダの伝説〜４つの剣＋〜」の
ディスクをセットしてください。"
"801f0f1b","ディスクを読めませんでした。
くわしくは、本体の取扱説明書をお読みください。"
"801f0f67","エラーが発生しました。
本体のパワーボタンを押して電源をOFFにし
本体の取扱説明書の指示に従ってください。"
"801f0fe0","FONTbfn1"
"801f1000","INF1"
"801f1020","WID1"
"801f10e0","MAP1"
"801f9e40",";:\,.02469"
"801f9e54","*+-/1358"
"801fa010","caWYdSTUVXZ[\^_`be]"
"801fa038","GCQPABDEFHIJLMNORKwuikmxfghjlnoprstvyq"
"801fa204","PO[RGMdXaJ^"
"801fa21c","ECZQFLcW`I]"
"801fa234","V\SHNeYbK_TU"
"801fdc0c","　！”＃＄％＆’（）＊＋，−．／０１２３４５６７８９：；＜＝＞？＠ＡＢＣＤＥＦＧＨＩＪＫＬＭＮＯＰＱＲＳＴＵＶＷＸＹＺ［￥］＾＿‘ａｂｃｄｅｆｇｈｉｊｋｌｍｎｏｐｑｒｓｔｕｖｗｘｙｚ｛｜｝〜"
"801fdce0","FONTbfn1"
"802026e8","GCN_Mem_Alloc.c : InitDefaultHeap. No Heap Available
"
"80202720","Metrowerks CW runtime library initializing default heap
"
"8020279d","542101086242752217003726400434970855712890625"
"802027cb","11102230246251565404236316680908203125"
"802027f2","23283064365386962890625"
"8020280a","152587890625"
"80202817","390625"
"8020281e","78125"
"80202824","15625"
"8020282a","3125"
"8020282f","625"
"80202833","125"
"80202837","25"
"8020283a","5"
"8020283c","1"
"8020283e","2"
"80202840","4"
"80202842","8"
"80202844","16"
"80202847","32"
"8020284a","64"
"8020284d","128"
"80202851","256"
"80202859","-INF"
"8020285e","-inf"
"80202863","INF"
"80202867","inf"
"8020286b","-NAN"
"80202870","-nan"
"80202875","NAN"
"80202879","nan"
"802028c0",""
"80202b98","MetroTRK for GAMECUBE v2.0"
"80202bb4","Initialize NUB
"
"80202bc8","MessageSend : cc_write returned %ld
"
"80202bf0","ERROR : No buffer available
"
"80202c10","TRK_Packet_Header 	    %ld bytes
"
"80202c34","TRK_CMD_ReadMemory     %ld bytes
"
"80202c58","TRK_CMD_WriteMemory    %ld bytes
"
"80202c7c","TRK_CMD_Connect 	    %ld bytes
"
"80202c9c","TRK_CMD_ReplyAck	    %ld bytes
"
"80202cbc","TRK_CMD_ReadRegisters	%ld bytes
"
"80202ce0","TestForPacket : FreeBuffer is  %ld
"
"80202d04","Reading payload %ld bytes
"
"80202d20","TestForPacket : Invalid size of packet hdr.size
"
"80202d54","TestForPacket : Invalid size of packet
"
"80202d7c","TestForPacket returning %ld
"
"80202da0","Dispatch command 0x%08x
"
"80202dbc","Dispatch complete err = %ld
"
"80202de0","
MetroTRK Option : SerialIO - "
"80202e00","Enable
"
"80202e08","Disable
"
"80202e14","DoContinue
"
"80202e20","DoFlushCache unimplemented!!!
"
"80202e40","SendACK : Calling MessageSend
"
"80202e60","MessageSend err : %ld
"
"80202e78","DoReadRegisters : Buffer length 0x%08x
"
"80202ea0","DoReadRegisters : Error reading  default regs 0x%08x
"
