"Location","String Value"
"8045ed8c","  [%08X]: .%s [%08X: %XH]
  %s
"
"80496394","  Company ..... %c%c
"
"804963ac","  Disk # ...... %d
"
"80496378","  Game Name ... %c%c%c%c
"
"804963c0","  Game ver .... %d
"
"8045ec70","  no information
"
"8045ec84","  no register which seem to address.
"
"804963d4","  Streaming ... %s
"
"80496674"," ! ! ! C A U T I O N ! ! !             
"
"8045e4b0"," attr  address:   size    gid aln   prev_ptr next_ptr
"
"80475f08"," baddies"
"8048f3e0"," baddies"
"80543254"," baddy"
"80543b4c"," baddy"
"8045d230"," Base: 0x%08x Cur: 0x%08x(0x%06x)"
"80543244"," cocco"
"8054324c"," coccos"
"805432a8"," Cucco"
"80543b44"," Cucco"
"805432b0"," Cuccos"
"80543b3c"," Cuccos"
"80475f48"," Force Fairies"
"8048f404"," Force Fairies"
"80475f38"," Force Fairy"
"8048f414"," Force Fairy"
"80475ef0"," Force Gem"
"8048f3d4"," Force Gem"
"80475efc"," Force Gems"
"8048f3c8"," Force Gems"
"8045eb60"," FPE: Inexact result
"
"8045ea6c"," FPE: Invalid operation
"
"8045eb24"," FPE: Overflow
"
"8045eb34"," FPE: Underflow
"
"8045eb48"," FPE: Zero division
"
"8053b724"," free"
"80495c88"," in \"%s\" on line %d.
"
"8045eab8"," Infinity * 0
"
"8045ea88"," Infinity - Infinity
"
"8045eaa0"," Infinity / Infinity
"
"8045eac8"," Invalid compare
"
"8045eb08"," Invalid integer convert
"
"8045eaf0"," Invalid square root
"
"8054327c"," mole"
"80543b84"," mole"
"80543284"," moles"
"80543b7c"," moles"
"8045ece4"," MSR:%08XH	 FPSCR:%08XH
"
"8053b70c"," NONE
"
"8045d2ac"," PORT 0-3: 0x%04x 0x%04x 0x%04x 0x%04x"
"8045d2d4"," PORT 4-7: 0x%04x 0x%04x 0x%04x 0x%04x"
"8045d2fc"," PORT 8-B: 0x%04x 0x%04x 0x%04x 0x%04x"
"8045d324"," PORT C-F: 0x%04x 0x%04x 0x%04x 0x%04x"
"8045d254"," REG_A: 0x%04x REG_B: 0x%04x REG_S: 0x%04x"
"8045d280"," REG_X: 0x%04x REG_Y: 0x%04x REG_F: 0x%04x"
"8054328c"," return"
"80543b8c"," return"
"80475f2c"," returns"
"8048f3f8"," returns"
"8045eadc"," Software request
"
"8054326c"," system"
"80543b64"," system"
"80475f14"," systems"
"8048f3ec"," systems"
"8053b714"," temp"
"80543b6c"," theves"
"80543274"," thief"
"80543b74"," thief"
"80475f20"," thieves"
"8054325c"," time"
"80543b5c"," time"
"80543264"," times"
"80543b54"," times"
"80471d37","$enemy_both2_sob.bin"
"80476e38","%02d.%02d.%04d %02d:%02d:%02d"
"8045d874","%02x "
"8045ea24","%08X:  %08X    %08X
"
"8045e604","%2x  %3d  %6x  (%08x %08x)
"
"8045e56c","%d / %d bytes (%6.2f%%) used (U:%d F:%d)
"
"8045e7fc","%d / %d bytes (%6.2f%%) used
"
"8045e854","%d / %d bytes (%6.2f%%) used
"
"80476590","%d/%d Save Data"
"8045e534","%s %08x: %08x  %3d %3d  (%08x %08x)
"
"8045ec1c","%s %s:%x section:%d
"
"8045e934","%s in \"%s\" on line %d
"
"8045e55c","(Free Blocks)
"
"8045e4e8","(Used Blocks)
"
"8048cc64","***** heap check　連続空き容量　%fK 残り空き容量　%fK *****
"
"80465a48","***** particle.jpc load *****
"
"8045ed00","******** EXCEPTION OCCURRED! ********
FrameMemory:%XH
"
"8045ed38","******** USER HALT ********
FrameMemory:%XH
"
"80496648","***************************************
"
"8045e65c","+---------------End
"
"8045e598","+---------------JKRExpHeap
"
"8048d2df","+bat_stage_select.blo"
"8048f6db","\,gameover.blo"
"8045d1f8","--------------- JASTrack (%8x) dump ----------------"
"80495ab0","------------------------- Context 0x%08x -------------------------
"
"8045e9a0","-------------------------------- FPR
"
"8045ebb0","-------------------------------- GPR
"
"8045ec34","-------------------------------- GPRMAP
"
"8045ecac","-------------------------------- SRR0MAP
"
"8045e9c8","-------------------------------- TRACE
"
"8045ed68","--------------------------------
"
"804985a9","// Coded by Kawasedo"
"80491ad0","/AudioRes/Waves/"
"80477898","/DOL/framework.dol"
"80465640","/GC4Sword/Boss/"
"80465664","/GC4Sword/Boss/boss500.arc"
"80465824","/GC4Sword/entry.arc"
"804657cc","/GC4Sword/file.arc"
"804656a0","/GC4Sword/game2D.arc"
"80465764","/GC4Sword/gamemode.arc"
"80465880","/GC4Sword/map1.arc"
"80465894","/GC4Sword/map2.arc"
"80479c34","/GC4Sword_usa/agb/client_thread.arc"
"8048fb10","/GC4Sword_usa/AudioRes/JaiInit.baa"
"8048fb34","/GC4Sword_usa/AudioRes/Seqs/JaiSeqs.arc"
"80465650","/GC4Sword_usa/Boss/"
"80465680","/GC4Sword_usa/Boss/boss500.arc"
"80479b7c","/GC4Sword_usa/data.arc"
"80465838","/GC4Sword_usa/entry.arc"
"804657e0","/GC4Sword_usa/file.arc"
"804656b8","/GC4Sword_usa/game2D.arc"
"8046577c","/GC4Sword_usa/gamemode.arc"
"80479ac0","/GC4Sword_usa/logo.arc"
"80479bac","/GC4Sword_usa/main2D.arc"
"804658a8","/GC4Sword_usa/map1.arc"
"804658c0","/GC4Sword_usa/map2.arc"
"80479b94","/GC4Sword_usa/msgus.arc"
"80479be0","/GC4Sword_usa/result.arc"
"80479bfc","/GC4Sword_usa/result1.arc"
"80479c18","/GC4Sword_usa/result2.arc"
"8048f360","/GC4Sword_usa/thpdemo/4swords_title_us.thp"
"8048f300","/GC4Sword_usa/thpdemo/hyl.thp"
"8048f340","/GC4Sword_usa/thpdemo/nav.thp"
"8048f320","/GC4Sword_usa/thpdemo/sha.thp"
"80479bc8","/GC4Sword_usa/title.arc"
"80475657","0enemy_both2_sob.bin"
"80472497","0enemy_both_sob.bin"
"80495c48","0x%08x:   0x%08x    0x%08x
"
"80495cc8","0x%08x:   0x%08x    0x%08x
"
"8045dda5","102230246251565404236316680908203125"
"80495670","11:27:16"
"8049695c","12:34:16"
"8045dd77","2101086242752217003726400434970855712890625"
"8045dde4","2587890625"
"8045ddcc","283064365386962890625"
"80474fac","4hippari_switch_0.bti"
"80474fc4","4hippari_switch_1.bti"
"80474fdc","4hippari_switch_2.bti"
"80474ff4","4hippari_switch_3.bti"
"8047500c","4hippari_switch_4.bti"
"804647af","8enemy_gc_sob.bin"
"8045e430",":::addr %08x: bad block size (%08x)
"
"8045e37c",":::addr %08x: bad heap signature. (%c%c)
"
"8045e3a8",":::addr %08x: bad next pointer (%08x)
abort
"
"8045e3d8",":::addr %08x: bad previous pointer (%08x)
"
"8045e404",":::addr %08x: bad used list(REV) (%08x)
"
"8045e0d4",":::address not 32Byte aligned."
"8045e458",":::bad total memory block size (%08X\, %08X)
"
"8045e300",":::cannot alloc memory (0x%x byte).
"
"8045e1a4",":::Cannot alloc memory
"
"8045e34c",":::Heap may be broken. (block = %x)"
"8045e488",":::there is some error in this heap!
"
"80496810","<< Dolphin SDK - AI	release build: Apr 17 2003 12:33:54 (0x2301) >>"
"80496858","<< Dolphin SDK - AR	release build: Apr 17 2003 12:33:55 (0x2301) >>"
"804968a0","<< Dolphin SDK - ARQ	release build: Apr 17 2003 12:33:56 (0x2301) >>"
"80496aa8","<< Dolphin SDK - CARD	release build: Apr 17 2003 12:34:19 (0x2301) >>"
"804968e8","<< Dolphin SDK - DSP	release build: Apr 17 2003 12:34:16 (0x2301) >>"
"804961b0","<< Dolphin SDK - DVD	release build: Sep 16 2003 09:50:54 (0x2301) >>"
"804982d0","<< Dolphin SDK - EXI	release build: Apr 17 2003 12:33:17 (0x2301) >>"
"80496ca0","<< Dolphin SDK - GX	release build: Jul 23 2003 11:27:39 (0x2301) >>"
"804955f8","<< Dolphin SDK - OS	release build: Jul 23 2003 11:27:16 (0x2301) >>"
"804967b8","<< Dolphin SDK - PAD	release build: Aug  6 2003 04:30:02 (0x2301) >>"
"804983e0","<< Dolphin SDK - SI	release build: Apr 17 2003 12:33:19 (0x2301) >>"
"804963e8","<< Dolphin SDK - VI	release build: Apr 17 2003 12:33:22 (0x2301) >>"
"804755a0","====>%d\, %d
"
"80495880",">>> L2 INVALIDATE : SHOULD NEVER HAPPEN
"
"80495774",">>> OSINIT: exception %d commandeered by TRK
"
"804957a4",">>> OSINIT: exception %d vectored to debugger
"
"8046e9f7",">d_enemy_map%s_%d%d.bin"
"8045e10c","??? bad sequence
"
"8045e264","??? bad sequence
"
"8045e69c","??? bad sequence
"
"8048cc1b","?player_sob.bin"
"8046c48f","@enemy_both_sob.bin"
"8046404b","[enemy_both2_sob.bin"
"80495bbc","

FPRs----------
"
"80495bec","

PSFs----------
"
"80495c20","
Address:      Back Chain    LR Save
"
"80495ca0","
Address:      Back Chain    LR Save
"
"80495dc0","
Attempted to fetch instruction from invalid address 0x%x (read from SRR0)
"
"8049563c","
Dolphin OS
"
"80495d1c","
DSISR = 0x%08x                   DAR  = 0x%08x
"
"80495b84","
GQRs----------
"
"80495d60","
Instruction at 0x%x (read from SRR0) attempted to access invalid address 0x%x (read from DAR)
"
"80495e0c","
Instruction at 0x%x (read from SRR0) attempted to access unaligned address 0x%x (read from DAR)
"
"80495f2c","
Last interrupt (%d): SRR0 = 0x%08x  TB = 0x%016llx
"
"8045d698","
MetroTRK Option : SerialIO - "
"80495e70","
Program exception : Possible illegal instruction/operation at or around 0x%x (read from SRR0)
"
"804959c4","	- DMA attempted to access normal cache
"
"804959f0","	- DMA missed in data cache
"
"80495a10","	- DMA queue overflowed
"
"80495984","	- Requested a locked cache tag that was already in the cache
"
"80475547","	enemy_gc_sob.bin"
"80496a78","__DSP_add_task() : Added task    : 0x%08X
"
"80496a18","__DSP_boot_task()  : DRAM MMEM ADDR: 0x%08X
"
"804969b8","__DSP_boot_task()  : IRAM DSP ADDR : 0x%08X
"
"804969e8","__DSP_boot_task()  : IRAM LENGTH   : 0x%08X
"
"80496988","__DSP_boot_task()  : IRAM MMEM ADDR: 0x%08X
"
"80496a48","__DSP_boot_task()  : Start Vector  : 0x%08X
"
"8053b744","abort
"
"8045e9f0","Address:   BackChain   LR save
"
"804789e0","adv_back.blo"
"804789ac","adv_entry.blo"
"804789bc","adv_entry_con.blo"
"80478998","adv_n_player.blo"
"80495ed0","AI DMA Address =   0x%04x%04x
"
"80465994","AK_dummyGenB00"
"804659b8","AK_dummyGenG00"
"80465a04","AK_dummyGenP00"
"804659dc","AK_dummyGenR00"
"80465a28","AK_dummyGenS00"
"80465a68","AK_kagerouSwap00"
"80467640","ak_magicCircle.bmd"
"80467680","ak_magicCircle.brk"
"80467654","ak_magicCircle.btk"
"80467668","ak_magicCircleApp.btk"
"80467694","ak_magicCircleColor.brk"
"8045e8ac","ALIGNMENT"
"8053b71c","alloc"
"8045e6b0","allocFromHead: cannot alloc memory (0x%x byte).
"
"8045e6e4","allocFromTail: cannot alloc memory (0x%x byte).
"
"8045d3b0","Already inited prior DSP task
"
"8046420c","AMOS"
"80464ce0","AMOS"
"8046c838","AMOS"
"80479e6a","An error has occured. Turn
the power off and refer to the
Nintendo GameCube Instruction
Booklet for further instructions."
"8053c1f0","ana.bti"
"80540e20","ana.bti"
"8046dc7c","ana_1.bti"
"8046dc88","ana_2.bti"
"80463e24","ana_tobira.bti"
"80463d54","ana_ue.bti"
"80496950","Apr 17 2003"
"80495ef0","ARAM DMA Address = 0x%04x%04x
"
"80479b6c","archive load
"
"80495704","Arena : 0x%x - 0x%x
"
"80464240","ARRW"
"8046abe8","ARRW"
"80498398","Artist Ether"
"8046a4ec","atari_left.bti"
"8046a4dc","atari_right.bti"
"8046a50c","atari_top.bti"
"8046a4fc","atari_under.bti"
"8048fb5c","audio data load end!!
"
"8048fb74","auido init end!!
"
"8045e338","bad appendUsedList
"
"8045e370","Bad Block
"
"8046a4a4","bakudan_left.bti"
"8046a490","bakudan_right.bti"
"8046a4cc","bakudan_top.bti"
"8046a4b8","bakudan_under.bti"
"80479a14","bat_back.blo"
"804799e0","bat_entry.blo"
"804799f0","bat_entry_con.blo"
"804799cc","bat_n_player.blo"
"8048f390","bat_stage_select_window.blo"
"8046c844","BCK2"
"804642a8","BEEE"
"80464d7c","BEEE"
"804716c7","Benemy_both2_sob.bin"
"8046e894","bg_%s_gb_scl.szs"
